date,sectors
2015-01-30,"EU|Communication Services, EU|Consumer Discretionary, EU|Industrials, EU|Utilities, EU|Technology"
2015-02-27,"EU|Consumer Discretionary, EU|Industrials, EU|Financials, EU|Health Care, EU|Technology"
2015-03-31,"EU|Financials, EU|Health Care, EU|Energy, EU|Communication Services, EU|Consumer Staples"
2015-04-30,"EU|Energy, EU|Financials, EU|Communication Services, EU|Materials, EU|Industrials"
2015-05-29,"EU|Utilities, EU|Technology, EU|Communication Services, EU|Health Care, EU|Financials"
2015-06-30,"EU|Communication Services, EU|Financials, EU|Consumer Staples, EU|Utilities, EU|Consumer Discretionary"
2015-07-31,"EU|Consumer Discretionary, EU|Health Care, EU|Financials, EU|Communication Services, EU|Real Estate"
2015-08-31,"EU|Real Estate, EU|Technology, EU|Communication Services, EU|Health Care, EU|Industrials"
2015-09-30,"EU|Consumer Discretionary, EU|Real Estate, EU|Technology, EU|Consumer Staples, EU|Utilities"
2015-10-30,"EU|Technology, EU|Consumer Discretionary, EU|Consumer Staples, EU|Real Estate, EU|Communication Services"
2015-11-30,"EU|Technology, EU|Industrials, EU|Consumer Staples, EU|Energy, EU|Communication Services"
2015-12-30,"EU|Real Estate, EU|Health Care, EU|Technology, EU|Consumer Staples, EU|Utilities"
2016-01-29,"EU|Real Estate, EU|Consumer Discretionary, EU|Consumer Staples, EU|Technology, EU|Utilities"
2016-02-29,"EU|Materials, EU|Real Estate, EU|Energy, EU|Technology, EU|Consumer Discretionary"
2016-03-31,"EU|Materials, EU|Real Estate, EU|Industrials, EU|Technology, EU|Consumer Discretionary"
2016-04-29,"EU|Materials, EU|Energy, EU|Utilities, EU|Industrials, EU|Real Estate"
2016-05-31,"EU|Health Care, EU|Industrials, EU|Technology, EU|Consumer Discretionary, EU|Utilities"
2016-06-30,"EU|Real Estate, EU|Energy, EU|Materials, EU|Consumer Discretionary, EU|Utilities"
2016-07-29,"EU|Real Estate, EU|Technology, EU|Materials, EU|Industrials, EU|Health Care"
2016-08-31,"EU|Financials, EU|Real Estate, EU|Industrials, EU|Technology, EU|Energy"
2016-09-30,"EU|Materials, EU|Technology, EU|Energy, EU|Real Estate, EU|Industrials"
2016-10-31,"EU|Materials, EU|Financials, EU|Energy, EU|Real Estate, EU|Utilities"
2016-11-30,"EU|Materials, EU|Energy, EU|Technology, EU|Financials, EU|Industrials"
2016-12-30,"EU|Energy, EU|Materials, EU|Technology, EU|Financials, EU|Industrials"
2017-01-31,"EU|Materials, EU|Financials, EU|Technology, EU|Consumer Discretionary, EU|Industrials"
2017-02-28,"EU|Health Care, EU|Consumer Discretionary, EU|Technology, EU|Utilities, EU|Industrials"
2017-03-31,"EU|Utilities, EU|Technology, EU|Consumer Discretionary, EU|Financials, EU|Industrials"
2017-04-28,"EU|Financials, EU|Industrials, EU|Consumer Discretionary, EU|Technology, EU|Health Care"
2017-05-31,"EU|Utilities, EU|Real Estate, EU|Technology, EU|Consumer Discretionary, EU|Communication Services"
2017-06-30,"EU|Financials, EU|Health Care, EU|Industrials, EU|Consumer Staples, EU|Real Estate"
2017-07-31,"EU|Materials, EU|Financials, EU|Real Estate, EU|Technology, EU|Communication Services"
2017-08-31,"EU|Real Estate, EU|Materials, EU|Utilities, EU|Consumer Staples, EU|Technology"
2017-09-29,"EU|Energy, EU|Financials, EU|Industrials, EU|Technology, EU|Utilities"
2017-10-31,"EU|Energy, EU|Technology, EU|Industrials, EU|Materials, EU|Consumer Discretionary"
2017-11-30,"EU|Energy, EU|Real Estate, EU|Consumer Staples, EU|Industrials, EU|Utilities"
2017-12-29,"EU|Materials, EU|Real Estate, EU|Energy, EU|Industrials, EU|Communication Services"
2018-01-31,"EU|Materials, EU|Financials, EU|Industrials, EU|Technology, EU|Energy"
2018-02-28,"EU|Technology, EU|Materials, EU|Industrials, EU|Energy, EU|Financials"
2018-03-29,"EU|Utilities, EU|Real Estate, EU|Consumer Discretionary, EU|Energy, EU|Materials"
2018-04-30,"EU|Energy, EU|Real Estate, EU|Communication Services, EU|Materials, EU|Utilities"
2018-05-31,"EU|Consumer Discretionary, EU|Energy, EU|Materials, EU|Technology, EU|Real Estate"
2018-06-29,"EU|Energy, EU|Consumer Staples, EU|Utilities, EU|Real Estate, EU|Health Care"
2018-07-31,"EU|Health Care, EU|Energy, EU|Real Estate, EU|Consumer Discretionary, EU|Industrials"
2018-08-31,"EU|Energy, EU|Real Estate, EU|Industrials, EU|Technology, EU|Health Care"
2018-09-28,"EU|Energy, EU|Materials, EU|Health Care, EU|Industrials, EU|Consumer Staples"
2018-10-31,"EU|Consumer Staples, EU|Energy, EU|Utilities, EU|Health Care, EU|Communication Services"
2018-11-30,"EU|Communication Services, EU|Health Care, EU|Consumer Staples, EU|Utilities, EU|Real Estate"
2018-12-28,"EU|Utilities, EU|Communication Services, EU|Materials, EU|Health Care, EU|Consumer Staples"
2019-01-31,"EU|Utilities, EU|Materials, EU|Consumer Staples, EU|Real Estate, EU|Industrials"
2019-02-28,"EU|Materials, EU|Health Care, EU|Consumer Staples, EU|Financials, EU|Utilities"
2019-03-29,"EU|Consumer Staples, EU|Materials, EU|Health Care, EU|Utilities, EU|Consumer Discretionary"
2019-04-30,"EU|Technology, EU|Industrials, EU|Consumer Staples, EU|Financials, EU|Consumer Discretionary"
2019-05-31,"EU|Real Estate, EU|Consumer Staples, EU|Utilities, EU|Health Care, EU|Technology"
2019-06-28,"EU|Technology, EU|Health Care, EU|Industrials, EU|Consumer Discretionary, EU|Consumer Staples"
2019-07-31,"EU|Consumer Staples, EU|Health Care, EU|Consumer Discretionary, EU|Technology, EU|Industrials"
2019-08-30,"EU|Consumer Staples, EU|Health Care, EU|Utilities, EU|Real Estate, EU|Consumer Discretionary"
2019-09-30,"EU|Utilities, EU|Communication Services, EU|Health Care, EU|Real Estate, EU|Consumer Staples"
2019-10-31,"EU|Industrials, EU|Health Care, EU|Utilities, EU|Communication Services, EU|Technology"
2019-11-29,"EU|Health Care, EU|Technology, EU|Industrials, EU|Consumer Discretionary, EU|Utilities"
2019-12-30,"EU|Health Care, EU|Utilities, EU|Financials, EU|Industrials, EU|Technology"
2020-01-31,"EU|Utilities, EU|Consumer Discretionary, EU|Real Estate, EU|Health Care, EU|Industrials"
2020-02-28,"EU|Utilities, EU|Real Estate, EU|Health Care, EU|Technology, EU|Communication Services"
2020-03-31,"EU|Health Care, EU|Technology, EU|Consumer Staples, EU|Consumer Discretionary, EU|Energy"
2020-04-30,"EU|Health Care, EU|Technology, EU|Consumer Discretionary, EU|Materials, EU|Industrials"
2020-05-29,"EU|Technology, EU|Utilities, EU|Industrials, EU|Materials, EU|Consumer Discretionary"
2020-06-30,"EU|Technology, EU|Utilities, EU|Consumer Discretionary, EU|Industrials, EU|Materials"
2020-07-31,"EU|Utilities, EU|Technology, EU|Industrials, EU|Consumer Staples, EU|Materials"
2020-08-31,"EU|Technology, EU|Consumer Discretionary, EU|Industrials, EU|Materials, EU|Consumer Staples"
2020-09-30,"EU|Consumer Discretionary, EU|Utilities, EU|Industrials, EU|Technology, EU|Health Care"
2020-10-30,"EU|Consumer Discretionary, EU|Industrials, EU|Materials, EU|Communication Services, EU|Financials"
2020-11-30,"EU|Financials, EU|Energy, EU|Materials, EU|Industrials, EU|Utilities"
2020-12-30,"EU|Materials, EU|Consumer Discretionary, EU|Industrials, EU|Energy, EU|Technology"
2021-01-29,"EU|Technology, EU|Materials, EU|Communication Services, EU|Industrials, EU|Energy"
2021-02-26,"EU|Financials, EU|Materials, EU|Energy, EU|Industrials, EU|Consumer Discretionary"
2021-03-31,"EU|Financials, EU|Communication Services, EU|Technology, EU|Materials, EU|Industrials"
2021-04-30,"EU|Financials, EU|Consumer Staples, EU|Materials, EU|Consumer Discretionary, EU|Real Estate"
2021-05-31,"EU|Financials, EU|Consumer Discretionary, EU|Real Estate, EU|Technology, EU|Consumer Staples"
2021-06-30,"EU|Health Care, EU|Technology, EU|Consumer Staples, EU|Communication Services, EU|Consumer Discretionary"
2021-07-30,"EU|Materials, EU|Technology, EU|Industrials, EU|Health Care, EU|Consumer Staples"
2021-08-31,"EU|Technology, EU|Health Care, EU|Industrials, EU|Utilities, EU|Real Estate"
2021-09-30,"EU|Energy, EU|Financials, EU|Health Care, EU|Consumer Staples, EU|Industrials"
2021-10-29,"EU|Health Care, EU|Financials, EU|Technology, EU|Energy, EU|Consumer Staples"
2021-11-30,"EU|Health Care, EU|Consumer Discretionary, EU|Utilities, EU|Consumer Staples, EU|Technology"
2021-12-30,"EU|Health Care, EU|Industrials, EU|Materials, EU|Consumer Staples, EU|Utilities"
2022-01-31,"EU|Energy, EU|Financials, EU|Communication Services, EU|Utilities, EU|Materials"
2022-02-28,"EU|Materials, EU|Energy, EU|Utilities, EU|Consumer Staples, EU|Health Care"
2022-03-31,"EU|Materials, EU|Health Care, EU|Energy, EU|Communication Services, EU|Utilities"
2022-04-29,"EU|Consumer Staples, EU|Energy, EU|Utilities, EU|Communication Services, EU|Industrials"
2022-05-31,"EU|Energy, EU|Financials, EU|Materials, EU|Communication Services, EU|Consumer Discretionary"
2022-06-30,"EU|Consumer Staples, EU|Health Care, EU|Consumer Discretionary, EU|Communication Services, EU|Energy"
2022-07-29,"EU|Consumer Discretionary, EU|Consumer Staples, EU|Technology, EU|Energy, EU|Industrials"
2022-08-31,"EU|Energy, EU|Health Care, EU|Consumer Discretionary, EU|Consumer Staples, EU|Communication Services"
2022-09-30,"EU|Energy, EU|Consumer Staples, EU|Materials, EU|Consumer Discretionary, EU|Financials"
2022-10-31,"EU|Energy, EU|Industrials, EU|Financials, EU|Technology, EU|Utilities"
2022-11-30,"EU|Consumer Discretionary, EU|Materials, EU|Financials, EU|Industrials, EU|Technology"
2022-12-30,"EU|Financials, EU|Materials, EU|Energy, EU|Real Estate, EU|Consumer Discretionary"
2023-01-31,"EU|Financials, EU|Technology, EU|Consumer Discretionary, EU|Materials, EU|Industrials"
2023-02-28,"EU|Financials, EU|Communication Services, EU|Energy, EU|Consumer Discretionary, EU|Industrials"
2023-03-31,"EU|Health Care, EU|Industrials, EU|Technology, EU|Utilities, EU|Consumer Discretionary"
2023-04-28,"EU|Industrials, EU|Utilities, EU|Consumer Discretionary, EU|Consumer Staples, EU|Health Care"
2023-05-31,"EU|Technology, EU|Industrials, EU|Financials, EU|Utilities, EU|Health Care"
2023-06-30,"EU|Financials, EU|Technology, EU|Utilities, EU|Industrials, EU|Consumer Discretionary"
2023-07-31,"EU|Financials, EU|Health Care, EU|Industrials, EU|Energy, EU|Real Estate"
2023-08-31,"EU|Health Care, EU|Energy, EU|Real Estate, EU|Utilities, EU|Financials"
2023-09-29,"EU|Energy, EU|Financials, EU|Materials, EU|Communication Services, EU|Real Estate"
2023-10-31,"EU|Energy, EU|Utilities, EU|Materials, EU|Real Estate, EU|Communication Services"
2023-11-30,"EU|Technology, EU|Utilities, EU|Real Estate, EU|Industrials, EU|Financials"
2023-12-29,"EU|Real Estate, EU|Materials, EU|Industrials, EU|Utilities, EU|Financials"
2024-01-31,"EU|Technology, EU|Consumer Discretionary, EU|Real Estate, EU|Industrials, EU|Financials"
2024-02-29,"EU|Industrials, EU|Technology, EU|Financials, EU|Health Care, EU|Consumer Discretionary"
2024-03-28,"EU|Financials, EU|Industrials, EU|Technology, EU|Real Estate, EU|Utilities"
2024-04-30,"EU|Financials, EU|Materials, EU|Real Estate, EU|Industrials, EU|Energy"
2024-05-31,"EU|Financials, EU|Health Care, EU|Industrials, EU|Communication Services, EU|Real Estate"
2024-06-28,"EU|Health Care, EU|Technology, EU|Communication Services, EU|Financials, EU|Industrials"
2024-07-31,"EU|Health Care, EU|Financials, EU|Communication Services, EU|Utilities, EU|Industrials"
2024-08-30,"EU|Real Estate, EU|Utilities, EU|Communication Services, EU|Health Care, EU|Financials"
2024-09-30,"EU|Utilities, EU|Materials, EU|Communication Services, EU|Consumer Discretionary, EU|Industrials"
2024-10-31,"EU|Communication Services, EU|Financials, EU|Materials, EU|Utilities, EU|Industrials"
