date,sectors
2015-01-30,"US|Energy, US|Consumer Discretionary, US|Materials, US|Industrials, US|Health Care"
2015-02-27,"US|Health Care, US|Technology, US|Consumer Discretionary, US|Industrials, US|Consumer Staples"
2015-03-31,"US|Consumer Discretionary, US|Health Care, US|Energy, US|Consumer Staples, US|Technology"
2015-04-30,"US|Energy, US|Technology, US|Materials, US|Consumer Discretionary, US|Financials"
2015-05-29,"US|Health Care, US|Utilities, US|Technology, US|Financials, US|Consumer Discretionary"
2015-06-30,"US|Consumer Discretionary, US|Health Care, US|Financials, US|Consumer Staples, US|Industrials"
2015-07-31,"US|Consumer Discretionary, US|Financials, US|Utilities, US|Consumer Staples, US|Health Care"
2015-08-31,"US|Utilities, US|Consumer Discretionary, US|Technology, US|Consumer Staples, US|Industrials"
2015-09-30,"US|Utilities, US|Consumer Staples, US|Consumer Discretionary, US|Financials, US|Industrials"
2015-10-30,"US|Consumer Discretionary, US|Technology, US|Industrials, US|Materials, US|Consumer Staples"
2015-11-30,"US|Consumer Discretionary, US|Technology, US|Financials, US|Industrials, US|Consumer Staples"
2015-12-31,"US|Health Care, US|Consumer Staples, US|Real Estate, US|Utilities, US|Financials"
2016-01-29,"US|Utilities, US|Consumer Staples, US|Technology, US|Real Estate, US|Consumer Discretionary"
2016-02-29,"US|Utilities, US|Industrials, US|Real Estate, US|Materials, US|Consumer Staples"
2016-03-31,"US|Technology, US|Utilities, US|Industrials, US|Materials, US|Consumer Discretionary"
2016-04-29,"US|Energy, US|Materials, US|Industrials, US|Financials, US|Utilities"
2016-05-31,"US|Technology, US|Financials, US|Energy, US|Materials, US|Utilities"
2016-06-30,"US|Utilities, US|Energy, US|Consumer Staples, US|Real Estate, US|Industrials"
2016-07-29,"US|Real Estate, US|Technology, US|Health Care, US|Materials, US|Industrials"
2016-08-31,"US|Financials, US|Technology, US|Energy, US|Materials, US|Industrials"
2016-09-30,"US|Energy, US|Technology, US|Industrials, US|Real Estate, US|Materials"
2016-10-31,"US|Financials, US|Utilities, US|Technology, US|Consumer Staples, US|Industrials"
2016-11-30,"US|Financials, US|Industrials, US|Energy, US|Materials, US|Consumer Discretionary"
2016-12-30,"US|Financials, US|Energy, US|Utilities, US|Real Estate, US|Industrials"
