date,sectors
2008-03-31,"THEME|Food & Beverage, THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Defense, THEME|Semiconductors"
2008-05-30,"THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Gold & Precious Metals Miners, THEME|Food & Beverage"
2008-07-31,"THEME|Biotech, THEME|Food & Beverage, THEME|Defense, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2008-09-30,"THEME|Biotech, THEME|Food & Beverage, THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Semiconductors"
2008-11-28,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Biotech, THEME|Defense, THEME|Semiconductors"
2009-01-30,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Defense, THEME|Semiconductors, THEME|Food & Beverage"
2009-03-31,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Food & Beverage, THEME|Biotech, THEME|Defense"
2009-05-29,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Defense, THEME|Food & Beverage, THEME|Biotech"
2009-07-31,"THEME|Biotech, THEME|Semiconductors, THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Defense"
2009-09-30,"THEME|Defense, THEME|Semiconductors, THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Biotech"
2009-11-30,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Food & Beverage, THEME|Semiconductors, THEME|Biotech"
2010-01-29,"THEME|Biotech, THEME|Defense, THEME|Food & Beverage, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2010-03-31,"THEME|Defense, THEME|Food & Beverage, THEME|Semiconductors, THEME|Biotech, THEME|Gold & Precious Metals Miners"
2010-05-28,"THEME|Food & Beverage, THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Defense, THEME|Biotech"
2010-07-30,"THEME|Food & Beverage, THEME|Defense, THEME|Biotech, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2010-09-30,"THEME|Biotech, THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Defense, THEME|Food & Beverage"
2010-11-30,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Defense"
2011-01-31,"THEME|Semiconductors, THEME|Defense, THEME|Healthcare Providers, THEME|Biotech, THEME|Food & Beverage"
2011-03-31,"THEME|Healthcare Providers, THEME|Defense, THEME|Food & Beverage, THEME|Semiconductors, THEME|Biotech"
2011-05-31,"THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Defense, THEME|Semiconductors"
2011-07-29,"THEME|Food & Beverage, THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Semiconductors"
2011-09-30,"THEME|Defense, THEME|Biotech, THEME|Food & Beverage, THEME|Semiconductors, THEME|Healthcare Providers"
2011-11-30,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Semiconductors"
2012-01-31,"THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Healthcare Providers, THEME|Food & Beverage"
2012-03-30,"THEME|Biotech, THEME|Semiconductors, THEME|Healthcare Providers, THEME|Defense, THEME|Food & Beverage"
2012-05-31,"THEME|Biotech, THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Defense, THEME|Semiconductors"
2012-07-31,"THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Food & Beverage, THEME|Healthcare Providers"
2012-09-28,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Defense"
2012-11-30,"THEME|Defense, THEME|Biotech, THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2013-01-31,"THEME|Insurance, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Biotech, THEME|Defense"
2013-03-28,"THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Insurance, THEME|Defense, THEME|Biotech"
2013-05-31,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Insurance, THEME|Food & Beverage"
2013-07-31,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Insurance"
2013-09-30,"THEME|Biotech, THEME|Defense, THEME|Insurance, THEME|Food & Beverage, THEME|Healthcare Providers"
2013-11-29,"THEME|Defense, THEME|Healthcare Providers, THEME|Biotech, THEME|Insurance, THEME|Food & Beverage"
2014-01-31,"THEME|Biotech, THEME|Uranium & Nuclear, THEME|Defense, THEME|Healthcare Providers, THEME|Food & Beverage"
2014-03-31,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Defense, THEME|Uranium & Nuclear"
2014-05-30,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Defense, THEME|Uranium & Nuclear"
