date,sectors
2008-03-31,"THEME|Food & Beverage, THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Defense"
2008-04-30,"THEME|Defense, THEME|Semiconductors, THEME|Food & Beverage, THEME|Biotech"
2008-05-30,"THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Food & Beverage"
2008-06-30,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Semiconductors, THEME|Food & Beverage"
2008-07-31,"THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Clean Energy"
2008-08-29,"THEME|Clean Energy, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Biotech"
2008-09-30,"THEME|Biotech, THEME|Food & Beverage, THEME|Gold & Precious Metals Miners, THEME|Healthcare Providers"
2008-10-31,"THEME|Food & Beverage, THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2008-11-28,"THEME|Food & Beverage, THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2008-12-31,"THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Defense"
2009-01-30,"THEME|Healthcare Providers, THEME|Biotech, THEME|Defense, THEME|Food & Beverage"
2009-02-27,"THEME|Food & Beverage, THEME|Biotech, THEME|Healthcare Providers, THEME|Defense"
2009-03-31,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Food & Beverage, THEME|Biotech"
2009-04-30,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Defense, THEME|Clean Energy"
2009-05-29,"THEME|Gold & Precious Metals Miners, THEME|Clean Energy, THEME|Semiconductors, THEME|Defense"
2009-06-30,"THEME|Healthcare Providers, THEME|Biotech, THEME|Semiconductors, THEME|Clean Energy"
2009-07-31,"THEME|Biotech, THEME|Semiconductors, THEME|Healthcare Providers, THEME|Clean Energy"
2009-08-31,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers, THEME|Biotech"
2009-09-30,"THEME|Insurance, THEME|Defense, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
