date,sectors
2008-03-28,"THEME|Gold & Precious Metals Miners, THEME|Medical Devices, THEME|Food & Beverage"
2008-04-04,"THEME|Medical Devices, THEME|Food & Beverage, THEME|Gold & Precious Metals Miners"
2008-04-11,"THEME|Medical Devices, THEME|Food & Beverage, THEME|Gold & Precious Metals Miners"
2008-04-18,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2008-04-25,"THEME|Energy Producers, THEME|Food & Beverage, THEME|Medical Devices"
2008-05-02,"THEME|Energy Producers, THEME|Food & Beverage, THEME|Medical Devices"
2008-05-09,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-05-16,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-05-23,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-05-30,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-06-06,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-06-13,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-06-20,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-06-27,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-07-03,"THEME|Energy Producers, THEME|Medical Devices, THEME|Food & Beverage"
2008-07-11,"THEME|Medical Devices, THEME|Food & Beverage, THEME|Energy Producers"
2008-07-18,"THEME|Biotech, THEME|Medical Devices, THEME|Food & Beverage"
2008-07-25,"THEME|Biotech, THEME|Medical Devices, THEME|Food & Beverage"
2008-08-01,"THEME|Biotech, THEME|Medical Devices, THEME|Food & Beverage"
2008-08-08,"THEME|Biotech, THEME|Medical Devices, THEME|Food & Beverage"
2008-08-15,"THEME|Biotech, THEME|Medical Devices, THEME|Food & Beverage"
2008-08-22,"THEME|Medical Devices, THEME|Biotech, THEME|Food & Beverage"
2008-08-29,"THEME|Medical Devices, THEME|Food & Beverage, THEME|Biotech"
2008-09-05,"THEME|Medical Devices, THEME|Food & Beverage, THEME|Biotech"
2008-09-12,"THEME|Medical Devices, THEME|Food & Beverage, THEME|Biotech"
2008-09-19,"THEME|Food & Beverage, THEME|Medical Devices, THEME|Biotech"
2008-09-26,"THEME|Food & Beverage, THEME|Biotech, THEME|Medical Devices"
2008-10-03,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-10-10,"THEME|Food & Beverage, THEME|Biotech, THEME|Medical Devices"
2008-10-17,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-10-24,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-10-31,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-11-07,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-11-14,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-11-21,"THEME|Biotech, THEME|Food & Beverage, THEME|Medical Devices"
2008-11-28,"THEME|Food & Beverage, THEME|Biotech, THEME|Medical Devices"
2008-12-05,"THEME|Food & Beverage, THEME|Biotech, THEME|Medical Devices"
2008-12-12,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2008-12-19,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2008-12-26,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-01-02,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-01-09,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-01-16,"THEME|Biotech, THEME|Gold & Precious Metals Miners, THEME|Food & Beverage"
2009-01-23,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-01-30,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-02-06,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-02-13,"THEME|Biotech, THEME|Gold & Precious Metals Miners, THEME|Food & Beverage"
2009-02-20,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-02-27,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Biotech"
2009-03-06,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Biotech"
2009-03-13,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Biotech"
2009-03-20,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Food & Beverage"
2009-03-27,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Biotech"
2009-04-03,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Food & Beverage"
2009-04-09,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Gold & Precious Metals Miners"
2009-04-17,"THEME|Semiconductors, THEME|Insurance, THEME|Food & Beverage"
2009-04-24,"THEME|Semiconductors, THEME|Insurance, THEME|Food & Beverage"
2009-05-01,"THEME|Food & Beverage, THEME|Semiconductors, THEME|Insurance"
2009-05-08,"THEME|Clean Energy, THEME|Insurance, THEME|Food & Beverage"
2009-05-15,"THEME|Clean Energy, THEME|Insurance, THEME|Food & Beverage"
2009-05-22,"THEME|Clean Energy, THEME|Insurance, THEME|Food & Beverage"
2009-05-29,"THEME|Clean Energy, THEME|Insurance, THEME|Food & Beverage"
2009-06-05,"THEME|Gold & Precious Metals Miners, THEME|Clean Energy, THEME|Insurance"
2009-06-12,"THEME|Clean Energy, THEME|Semiconductors, THEME|Insurance"
2009-06-19,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Clean Energy"
2009-06-26,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Clean Energy"
2009-07-02,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Clean Energy"
2009-07-10,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Clean Energy"
2009-07-17,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage"
2009-07-24,"THEME|Semiconductors, THEME|Insurance, THEME|Healthcare Providers"
2009-07-31,"THEME|Semiconductors, THEME|Insurance, THEME|Healthcare Providers"
2009-08-07,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-08-14,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-08-21,"THEME|Insurance, THEME|Healthcare Providers, THEME|Semiconductors"
2009-08-28,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-09-04,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-09-11,"THEME|Semiconductors, THEME|Insurance, THEME|Healthcare Providers"
2009-09-18,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-09-25,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-10-02,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-10-09,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-10-16,"THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2009-10-23,"THEME|Insurance, THEME|Healthcare Providers, THEME|Semiconductors"
2009-10-30,"THEME|Healthcare Providers, THEME|Insurance, THEME|Semiconductors"
2009-11-06,"THEME|Healthcare Providers, THEME|Insurance, THEME|Semiconductors"
2009-11-13,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Insurance"
2009-11-20,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Insurance"
2009-11-27,"THEME|Healthcare Providers, THEME|Insurance, THEME|Semiconductors"
2009-12-04,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Insurance"
2009-12-11,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Insurance"
2009-12-18,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Insurance"
2009-12-24,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Insurance"
2009-12-31,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Insurance"
2010-01-08,"THEME|Biotech, THEME|Semiconductors, THEME|Healthcare Providers"
2010-01-15,"THEME|Defense, THEME|Biotech, THEME|Healthcare Providers"
2010-01-22,"THEME|Biotech, THEME|Healthcare Providers, THEME|Defense"
2010-01-29,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2010-02-05,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2010-02-12,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2010-02-19,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2010-02-26,"THEME|Defense, THEME|Healthcare Providers, THEME|Biotech"
2010-03-05,"THEME|Defense, THEME|Biotech, THEME|Healthcare Providers"
2010-03-12,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2010-03-19,"THEME|Biotech, THEME|Healthcare Providers, THEME|Defense"
2010-03-26,"THEME|Healthcare Providers, THEME|Defense, THEME|Biotech"
2010-04-01,"THEME|Defense, THEME|Healthcare Providers, THEME|Biotech"
2010-04-09,"THEME|Defense, THEME|Healthcare Providers, THEME|Biotech"
2010-04-16,"THEME|Semiconductors, THEME|Defense, THEME|Biotech"
2010-04-23,"THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2010-04-30,"THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2010-05-07,"THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2010-05-14,"THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2010-05-21,"THEME|Semiconductors, THEME|Defense, THEME|Insurance"
2010-05-28,"THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2010-06-04,"THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2010-06-11,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Defense"
2010-06-18,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Defense"
2010-06-25,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Insurance"
2010-07-02,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Defense"
2010-07-09,"THEME|Food & Beverage, THEME|Insurance, THEME|Gold & Precious Metals Miners"
2010-07-16,"THEME|Food & Beverage, THEME|Clean Energy, THEME|Insurance"
2010-07-23,"THEME|Food & Beverage, THEME|Clean Energy, THEME|Insurance"
2010-07-30,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-08-06,"THEME|Insurance, THEME|Food & Beverage, THEME|Clean Energy"
2010-08-13,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-08-20,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-08-27,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-09-03,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-09-10,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-09-17,"THEME|Food & Beverage, THEME|Insurance, THEME|Clean Energy"
2010-09-24,"THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Biotech"
2010-10-01,"THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Biotech"
2010-10-08,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Lithium & Battery"
2010-10-15,"THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Biotech"
2010-10-22,"THEME|Lithium & Battery, THEME|Food & Beverage, THEME|Biotech"
2010-10-29,"THEME|Lithium & Battery, THEME|Semiconductors, THEME|Food & Beverage"
2010-11-05,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Food & Beverage"
2010-11-12,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Food & Beverage"
2010-11-19,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Lithium & Battery"
2010-11-26,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Lithium & Battery"
2010-12-03,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Food & Beverage"
2010-12-10,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Food & Beverage"
2010-12-17,"THEME|Lithium & Battery, THEME|Semiconductors, THEME|Food & Beverage"
2010-12-23,"THEME|Lithium & Battery, THEME|Food & Beverage, THEME|Semiconductors"
2010-12-31,"THEME|Lithium & Battery, THEME|Energy Producers, THEME|Semiconductors"
2011-01-07,"THEME|Lithium & Battery, THEME|Energy Producers, THEME|Semiconductors"
2011-01-14,"THEME|Semiconductors, THEME|Energy Producers, THEME|Lithium & Battery"
2011-01-21,"THEME|Semiconductors, THEME|Energy Producers, THEME|Lithium & Battery"
2011-01-28,"THEME|Medical Devices, THEME|Energy Producers, THEME|Semiconductors"
2011-02-04,"THEME|Semiconductors, THEME|Energy Producers, THEME|Medical Devices"
2011-02-11,"THEME|Semiconductors, THEME|Medical Devices, THEME|Energy Producers"
2011-02-18,"THEME|Medical Devices, THEME|Semiconductors, THEME|Energy Producers"
2011-02-25,"THEME|Energy Producers, THEME|Medical Devices, THEME|Semiconductors"
2011-03-04,"THEME|Energy Producers, THEME|Medical Devices, THEME|Semiconductors"
2011-03-11,"THEME|Healthcare Providers, THEME|Energy Producers, THEME|Medical Devices"
2011-03-18,"THEME|Healthcare Providers, THEME|Energy Producers, THEME|Medical Devices"
2011-03-25,"THEME|Energy Producers, THEME|Healthcare Providers, THEME|Medical Devices"
2011-04-01,"THEME|Energy Producers, THEME|Medical Devices, THEME|Healthcare Providers"
2011-04-08,"THEME|Medical Devices, THEME|Energy Producers, THEME|Healthcare Providers"
2011-04-15,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Energy Producers"
2011-04-21,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Energy Producers"
2011-04-29,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Energy Producers"
2011-05-06,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Food & Beverage"
2011-05-13,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Food & Beverage"
2011-05-20,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Food & Beverage"
2011-05-27,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Food & Beverage"
2011-06-03,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Food & Beverage"
2011-06-10,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Food & Beverage"
2011-06-17,"THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Medical Devices"
