scan_id,region,gics_sector,signal_name,raw_value,z_value
110,EU,Communication Services,above_200dma,0.0982909,0.48057
110,EU,Communication Services,above_50dma,-0.0245536,-0.719094
110,EU,Communication Services,acceleration,-0.102826,-0.222562
110,EU,Communication Services,breadth_above_50dma,,-0.879533
110,EU,Communication Services,ma50_slope,0.000280057,-0.351269
110,EU,Communication Services,obv_slope,0.00214857,0.164258
110,EU,Communication Services,return_1m,-0.0737225,-1.35274
110,EU,Communication Services,return_3m,0.0291038,-0.489953
110,EU,Communication Services,return_6m,0.221678,1.02345
110,EU,Communication Services,rs_momentum,99.8996,-0.111333
110,EU,Communication Services,rs_ratio,94.7944,-1.57173
110,EU,Consumer Discretionary,above_200dma,0.00833184,-0.861951
110,EU,Consumer Discretionary,above_50dma,0.0545007,1.03409
110,EU,Consumer Discretionary,acceleration,-0.0507952,0.42079
110,EU,Consumer Discretionary,breadth_above_50dma,,-0.879533
110,EU,Consumer Discretionary,ma50_slope,0.00126197,0.220928
110,EU,Consumer Discretionary,obv_slope,0.00218075,0.166431
110,EU,Consumer Discretionary,return_1m,0.049027,1.072
110,EU,Consumer Discretionary,return_3m,0.0998222,0.196417
110,EU,Consumer Discretionary,return_6m,-0.0517218,-1.48369
110,EU,Consumer Discretionary,rs_momentum,99.8389,-0.314148
110,EU,Consumer Discretionary,rs_ratio,100.836,0.661219
110,EU,Consumer Staples,above_200dma,0.0781962,0.180683
110,EU,Consumer Staples,above_50dma,0.0642657,1.25064
110,EU,Consumer Staples,acceleration,-0.0812462,0.0442714
110,EU,Consumer Staples,breadth_above_50dma,,-0.879533
110,EU,Consumer Staples,ma50_slope,0.000937351,0.0317599
110,EU,Consumer Staples,obv_slope,-0.00738034,-0.479311
110,EU,Consumer Staples,return_1m,0.0481777,1.05523
110,EU,Consumer Staples,return_3m,0.129424,0.483722
110,EU,Consumer Staples,return_6m,0.0747256,-0.324136
110,EU,Consumer Staples,rs_momentum,100.31,1.2615
110,EU,Consumer Staples,rs_ratio,100.322,0.471008
110,EU,Energy,above_200dma,0.0833606,0.257755
110,EU,Energy,above_50dma,-0.073867,-1.81271
110,EU,Energy,acceleration,-0.0195649,0.806946
110,EU,Energy,breadth_above_50dma,,-0.879533
110,EU,Energy,ma50_slope,-0.00146319,-1.36712
110,EU,Energy,obv_slope,-0.00404043,-0.253738
110,EU,Energy,return_1m,-0.0923573,-1.72084
110,EU,Energy,return_3m,-0.0727924,-1.47893
110,EU,Energy,return_6m,0.252425,1.30541
110,EU,Energy,rs_momentum,99.4109,-1.74464
110,EU,Energy,rs_ratio,94.2315,-1.77977
110,EU,Financials,above_200dma,0.174957,1.62471
110,EU,Financials,above_50dma,0.0772793,1.53925
110,EU,Financials,acceleration,-0.175424,-1.12022
110,EU,Financials,breadth_above_50dma,,-0.879533
110,EU,Financials,ma50_slope,0.00275683,1.09204
110,EU,Financials,obv_slope,-0.019959,-1.32886
110,EU,Financials,return_1m,0.0628147,1.34436
110,EU,Financials,return_3m,0.238239,1.53984
110,EU,Financials,return_6m,0.170311,0.552403
110,EU,Financials,rs_momentum,100.369,1.45606
110,EU,Financials,rs_ratio,104.724,2.09799
110,EU,Health Care,above_200dma,0.0277895,-0.571571
110,EU,Health Care,above_50dma,0.0334718,0.56773
110,EU,Health Care,acceleration,-0.0449791,0.492706
110,EU,Health Care,breadth_above_50dma,,-0.879533
110,EU,Health Care,ma50_slope,-0.000236047,-0.652022
110,EU,Health Care,obv_slope,-0.00207274,-0.120844
110,EU,Health Care,return_1m,0.0235126,0.568002
110,EU,Health Care,return_3m,0.0684917,-0.107667
110,EU,Health Care,return_6m,0.0334552,-0.702594
110,EU,Health Care,rs_momentum,100.23,0.993615
110,EU,Health Care,rs_ratio,99.2613,0.0791073
110,EU,Industrials,above_200dma,0.0583083,-0.116118
110,EU,Industrials,above_50dma,0.019604,0.260186
